state_component, stat, schedule, label_scheme, N, result
goal.joint_independent, update.prec, 1, a, 9890, 0.5642892
goal.joint_independent, roc.v1_eer, 1, a, 9890, 0.3373104
goal.joint_independent, roc.v1_ca05, 1, a, 9890, 0.0958544
goal.joint_independent, roc.v1_ca10, 1, a, 9890, 0.2461072
goal.joint_independent, roc.v1_ca20, 1, a, 9890, 0.5113246
goal.joint_independent, roc.v2_ca05, 1, a, 9890, 0.0562399
goal.joint_independent, roc.v2_ca10, 1, a, 9890, 0.1051864
goal.joint_independent, roc.v2_ca20, 1, a, 9890, 0.2714749
requested.addr, acc, 1, a, 9890, 0.9851365
requested.addr, l2, 1, a, 9890, 0.0291294
requested.addr, l2.binary, 1, a, 9890, 0.0291294
requested.addr, avgp, 1, a, 9890, 0.9819590
requested.addr, neglogp, 1, a, 9890, 0.1188197
requested.addr, mrr, 1, a, 9890, 0.9925683
requested.addr, update.acc, 1, a, 9890, 0.9576951
requested.addr, update.prec, 1, a, 9890, 0.9861059
requested.addr, roc.v1_eer, 1, a, 9890, 0.0256825
requested.addr, roc.v1_ca05, 1, a, 9890, 0.9851365
requested.addr, roc.v1_ca10, 1, a, 9890, 0.9851365
requested.addr, roc.v1_ca20, 1, a, 9890, 0.9851365
requested.addr, roc.v2_ca05, 1, a, 9890, 0.0001026
requested.addr, roc.v2_ca10, 1, a, 9890, 0.0001026
requested.addr, roc.v2_ca20, 1, a, 9890, 0.0001026
requested.area, acc, 1, a, 9890, 0.9941355
requested.area, l2, 1, a, 9890, 0.0109911
requested.area, l2.binary, 1, a, 9890, 0.0109911
requested.area, avgp, 1, a, 9890, 0.9933228
requested.area, neglogp, 1, a, 9890, 0.0451007
requested.area, mrr, 1, a, 9890, 0.9970677
requested.area, update.acc, 1, a, 9890, 0.9654618
requested.area, update.prec, 1, a, 9890, 0.9868637
requested.area, roc.v1_eer, 1, a, 9890, 0.0093023
requested.area, roc.v1_ca05, 1, a, 9890, 0.9941355
requested.area, roc.v1_ca10, 1, a, 9890, 0.9941355
requested.area, roc.v1_ca20, 1, a, 9890, 0.9941355
requested.area, roc.v2_ca05, 1, a, 9890, 0.0001017
requested.area, roc.v2_ca10, 1, a, 9890, 0.0001017
requested.area, roc.v2_ca20, 1, a, 9890, 0.0001017
requested.food, acc, 1, a, 9890, 0.9937310
requested.food, l2, 1, a, 9890, 0.0114230
requested.food, l2.binary, 1, a, 9890, 0.0114230
requested.food, avgp, 1, a, 9890, 0.9930636
requested.food, neglogp, 1, a, 9890, 0.0448620
requested.food, mrr, 1, a, 9890, 0.9968655
requested.food, update.acc, 1, a, 9890, 0.9641524
requested.food, update.prec, 1, a, 9890, 0.9870031
requested.food, roc.v1_eer, 1, a, 9890, 0.0088979
requested.food, roc.v1_ca05, 1, a, 9890, 0.9937310
requested.food, roc.v1_ca10, 1, a, 9890, 0.9937310
requested.food, roc.v1_ca20, 1, a, 9890, 0.9937310
requested.food, roc.v2_ca05, 1, a, 9890, 0.0001018
