state_component, stat, schedule, label_scheme, N, result
goal.joint_independent, update.prec, 1, a, 9890, 0.6239627
goal.joint_independent, roc.v1_eer, 1, a, 9890, 0.2450961
goal.joint_independent, roc.v1_ca05, 1, a, 9890, 0.3661274
goal.joint_independent, roc.v1_ca10, 1, a, 9890, 0.5125379
goal.joint_independent, roc.v1_ca20, 1, a, 9890, 0.6428716
goal.joint_independent, roc.v2_ca05, 1, a, 9890, 0.2439857
goal.joint_independent, roc.v2_ca10, 1, a, 9890, 0.4003564
goal.joint_independent, roc.v2_ca20, 1, a, 9890, 0.6165726
requested.addr, acc, 1, a, 9890, 0.9913043
requested.addr, l2, 1, a, 9890, 0.0167978
requested.addr, l2.binary, 1, a, 9890, 0.0167978
requested.addr, avgp, 1, a, 9890, 0.9899855
requested.addr, neglogp, 1, a, 9890, 0.0701101
requested.addr, mrr, 1, a, 9890, 0.9956522
requested.addr, update.acc, 1, a, 9890, 0.9766849
requested.addr, update.prec, 1, a, 9890, 0.9907613
requested.addr, roc.v1_eer, 1, a, 9890, 0.0151668
requested.addr, roc.v1_ca05, 1, a, 9890, 0.9913043
requested.addr, roc.v1_ca10, 1, a, 9890, 0.9913043
requested.addr, roc.v1_ca20, 1, a, 9890, 0.9913043
requested.addr, roc.v2_ca05, 1, a, 9890, 0.0001020
requested.addr, roc.v2_ca10, 1, a, 9890, 0.0001020
requested.addr, roc.v2_ca20, 1, a, 9890, 0.0001020
requested.area, acc, 1, a, 9890, 0.9968655
requested.area, l2, 1, a, 9890, 0.0057398
requested.area, l2.binary, 1, a, 9890, 0.0057398
requested.area, avgp, 1, a, 9890, 0.9967789
requested.area, neglogp, 1, a, 9890, 0.0244940
requested.area, mrr, 1, a, 9890, 0.9984328
requested.area, update.acc, 1, a, 9890, 0.9784689
requested.area, update.prec, 1, a, 9890, 0.9967506
requested.area, roc.v1_eer, 1, a, 9890, 0.0050556
requested.area, roc.v1_ca05, 1, a, 9890, 0.9968655
requested.area, roc.v1_ca10, 1, a, 9890, 0.9968655
requested.area, roc.v1_ca20, 1, a, 9890, 0.9968655
requested.area, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.area, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.area, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.food, acc, 1, a, 9890, 0.9972700
requested.food, l2, 1, a, 9890, 0.0046482
requested.food, l2.binary, 1, a, 9890, 0.0046482
requested.food, avgp, 1, a, 9890, 0.9973166
requested.food, neglogp, 1, a, 9890, 0.0181198
requested.food, mrr, 1, a, 9890, 0.9986350
requested.food, update.acc, 1, a, 9890, 0.9881481
requested.food, update.prec, 1, a, 9890, 0.9910847
requested.food, roc.v1_eer, 1, a, 9890, 0.0038423
requested.food, roc.v1_ca05, 1, a, 9890, 0.9972700
requested.food, roc.v1_ca10, 1, a, 9890, 0.9972700
requested.food, roc.v1_ca20, 1, a, 9890, 0.9972700
requested.food, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.food, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.food, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.phone, acc, 1, a, 9890, 0.9962588
requested.phone, l2, 1, a, 9890, 0.0070738
requested.phone, l2.binary, 1, a, 9890, 0.0070738
requested.phone, avgp, 1, a, 9890, 0.9955153
requested.phone, neglogp, 1, a, 9890, 0.0263225
requested.phone, mrr, 1, a, 9890, 0.9981294
requested.phone, update.acc, 1, a, 9890, 0.9924596
requested.phone, update.prec, 1, a, 9890, 0.9938871
requested.phone, roc.v1_eer, 1, a, 9890, 0.0060667
requested.phone, roc.v1_ca05, 1, a, 9890, 0.9962588
requested.phone, roc.v1_ca10, 1, a, 9890, 0.9962588
requested.phone, roc.v1_ca20, 1, a, 9890, 0.9962588
requested.phone, roc.v2_ca05, 1, a, 9890, 0.0001015
requested.phone, roc.v2_ca10, 1, a, 9890, 0.0001015
requested.phone, roc.v2_ca20, 1, a, 9890, 0.0001015
requested.pricerange, acc, 1, a, 9890, 0.9968655
requested.pricerange, l2, 1, a, 9890, 0.0054550
requested.pricerange, l2.binary, 1, a, 9890, 0.0054550
requested.pricerange, avgp, 1, a, 9890, 0.9970129
requested.pricerange, neglogp, 1, a, 9890, 0.0198758
requested.pricerange, mrr, 1, a, 9890, 0.9984328
requested.pricerange, update.acc, 1, a, 9890, 0.9839450
requested.pricerange, update.prec, 1, a, 9890, 0.9922899
requested.pricerange, roc.v1_eer, 1, a, 9890, 0.0036400
requested.pricerange, roc.v1_ca05, 1, a, 9890, 0.9968655
requested.pricerange, roc.v1_ca10, 1, a, 9890, 0.9968655
requested.pricerange, roc.v1_ca20, 1, a, 9890, 0.9968655
requested.pricerange, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.pricerange, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.pricerange, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.postcode, acc, 1, a, 9890, 0.9971689
requested.postcode, l2, 1, a, 9890, 0.0052821
requested.postcode, l2.binary, 1, a, 9890, 0.0052821
requested.postcode, avgp, 1, a, 9890, 0.9970675
requested.postcode, neglogp, 1, a, 9890, 0.0196905
requested.postcode, mrr, 1, a, 9890, 0.9985844
requested.postcode, update.acc, 1, a, 9890, 0.9893617
requested.postcode, update.prec, 1, a, 9890, 0.9913391
requested.postcode, roc.v1_eer, 1, a, 9890, 0.0046512
requested.postcode, roc.v1_ca05, 1, a, 9890, 0.9971689
requested.postcode, roc.v1_ca10, 1, a, 9890, 0.9971689
requested.postcode, roc.v1_ca20, 1, a, 9890, 0.9971689
requested.postcode, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.postcode, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.postcode, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.signature, acc, 1, a, 9890, 0.9989889
