state_component, stat, schedule, label_scheme, N, result
goal.joint_independent, update.prec, 1, a, 9890, 0.5747345
goal.joint_independent, roc.v1_eer, 1, a, 9890, 0.2964611
goal.joint_independent, roc.v1_ca05, 1, a, 9890, 0.2863498
goal.joint_independent, roc.v1_ca10, 1, a, 9890, 0.4074823
goal.joint_independent, roc.v1_ca20, 1, a, 9890, 0.5366026
goal.joint_independent, roc.v2_ca05, 1, a, 9890, 0.2146639
goal.joint_independent, roc.v2_ca10, 1, a, 9890, 0.3752607
goal.joint_independent, roc.v2_ca20, 1, a, 9890, 0.5648965
requested.addr, acc, 1, a, 9890, 0.9796764
requested.addr, l2, 1, a, 9890, 0.0283111
requested.addr, l2.binary, 1, a, 9890, 0.0283111
requested.addr, avgp, 1, a, 9890, 0.9801414
requested.addr, neglogp, 1, a, 9890, 0.0834130
requested.addr, mrr, 1, a, 9890, 0.9898382
requested.addr, update.acc, 1, a, 9890, 0.9700428
requested.addr, update.prec, 1, a, 9890, 0.9577465
requested.addr, roc.v1_eer, 1, a, 9890, 0.0149646
requested.addr, roc.v1_ca05, 1, a, 9890, 0.9796764
requested.addr, roc.v1_ca10, 1, a, 9890, 0.9796764
requested.addr, roc.v1_ca20, 1, a, 9890, 0.9796764
requested.addr, roc.v2_ca05, 1, a, 9890, 0.0001032
requested.addr, roc.v2_ca10, 1, a, 9890, 0.0001032
requested.addr, roc.v2_ca20, 1, a, 9890, 0.0001032
requested.area, acc, 1, a, 9890, 0.9928210
requested.area, l2, 1, a, 9890, 0.0140579
requested.area, l2.binary, 1, a, 9890, 0.0140579
requested.area, avgp, 1, a, 9890, 0.9919864
requested.area, neglogp, 1, a, 9890, 0.0601528
requested.area, mrr, 1, a, 9890, 0.9964105
requested.area, update.acc, 1, a, 9890, 0.9523810
requested.area, update.prec, 1, a, 9890, 0.9909166
requested.area, roc.v1_eer, 1, a, 9890, 0.9927199
requested.area, roc.v1_ca05, 1, a, 9890, 0.9928210
requested.area, roc.v1_ca10, 1, a, 9890, 0.9928210
requested.area, roc.v1_ca20, 1, a, 9890, 0.9928210
requested.area, roc.v2_ca05, 1, a, 9890, 0.0001018
requested.area, roc.v2_ca10, 1, a, 9890, 0.0001018
requested.area, roc.v2_ca20, 1, a, 9890, 0.0001018
requested.food, acc, 1, a, 9890, 0.9970677
requested.food, l2, 1, a, 9890, 0.0056024
requested.food, l2.binary, 1, a, 9890, 0.0056024
requested.food, avgp, 1, a, 9890, 0.9966353
requested.food, neglogp, 1, a, 9890, 0.0226986
requested.food, mrr, 1, a, 9890, 0.9985339
requested.food, update.acc, 1, a, 9890, 0.9836066
requested.food, update.prec, 1, a, 9890, 0.9932280
requested.food, roc.v1_eer, 1, a, 9890, 0.0052578
requested.food, roc.v1_ca05, 1, a, 9890, 0.9970677
requested.food, roc.v1_ca10, 1, a, 9890, 0.9970677
requested.food, roc.v1_ca20, 1, a, 9890, 0.9970677
requested.food, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.food, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.food, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.phone, acc, 1, a, 9890, 0.9892821
requested.phone, l2, 1, a, 9890, 0.0122432
requested.phone, l2.binary, 1, a, 9890, 0.0122432
requested.phone, avgp, 1, a, 9890, 0.9899590
requested.phone, neglogp, 1, a, 9890, 0.0296810
requested.phone, mrr, 1, a, 9890, 0.9946411
requested.phone, update.acc, 1, a, 9890, 0.9861800
requested.phone, update.prec, 1, a, 9890, 0.9761487
requested.phone, roc.v1_eer, 1, a, 9890, 0.0046512
requested.phone, roc.v1_ca05, 1, a, 9890, 0.9892821
requested.phone, roc.v1_ca10, 1, a, 9890, 0.9892821
requested.phone, roc.v1_ca20, 1, a, 9890, 0.9892821
requested.phone, roc.v2_ca05, 1, a, 9890, 0.0001022
requested.phone, roc.v2_ca10, 1, a, 9890, 0.0001022
requested.phone, roc.v2_ca20, 1, a, 9890, 0.9966271
requested.pricerange, acc, 1, a, 9890, 0.9968655
requested.pricerange, l2, 1, a, 9890, 0.0052815
requested.pricerange, l2.binary, 1, a, 9890, 0.0052815
requested.pricerange, avgp, 1, a, 9890, 0.9964641
requested.pricerange, neglogp, 1, a, 9890, 0.0201378
requested.pricerange, mrr, 1, a, 9890, 0.9984328
requested.pricerange, update.acc, 1, a, 9890, 0.9838957
requested.pricerange, update.prec, 1, a, 9890, 0.9922660
requested.pricerange, roc.v1_eer, 1, a, 9890, 0.0040445
requested.pricerange, roc.v1_ca05, 1, a, 9890, 0.9968655
requested.pricerange, roc.v1_ca10, 1, a, 9890, 0.9968655
requested.pricerange, roc.v1_ca20, 1, a, 9890, 0.9968655
requested.pricerange, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.pricerange, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.pricerange, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.postcode, acc, 1, a, 9890, 0.9968655
requested.postcode, l2, 1, a, 9890, 0.0059446
requested.postcode, l2.binary, 1, a, 9890, 0.0059446
requested.postcode, avgp, 1, a, 9890, 0.9954916
requested.postcode, neglogp, 1, a, 9890, 0.0208807
requested.postcode, mrr, 1, a, 9890, 0.9984328
requested.postcode, update.acc, 1, a, 9890, 0.9886591
requested.postcode, update.prec, 1, a, 9890, 0.9906417
requested.postcode, roc.v1_eer, 1, a, 9890, 0.0052578
requested.postcode, roc.v1_ca05, 1, a, 9890, 0.9968655
requested.postcode, roc.v1_ca10, 1, a, 9890, 0.9968655
requested.postcode, roc.v1_ca20, 1, a, 9890, 0.9968655
requested.postcode, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.postcode, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.postcode, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.signature, acc, 1, a, 9890, 0.9989889
requested.signature, l2, 1, a, 9890, 0.0020222
requested.signature, l2.binary, 1, a, 9890, 0.0020222
requested.signature, avgp, 1, a, 9890, 0.9989889
requested.signature, neglogp, 1, a, 9890, 0.0093128
requested.signature, mrr, 1, a, 9890, 0.9994944
requested.signature, update.acc, 1, a, 9890, 0.9911269
requested.signature, update.prec, 1, a, 9890, 1.0000000
requested.signature, roc.v1_eer, 1, a, 9890, 0.9988878
requested.signature, roc.v1_ca05, 1, a, 9890, 0.9989889
requested.signature, roc.v1_ca10, 1, a, 9890, 0.9989889
requested.signature, roc.v1_ca20, 1, a, 9890, 0.9989889
requested.signature, roc.v2_ca05, 1, a, 9890, 0.0001012
requested.signature, roc.v2_ca10, 1, a, 9890, 0.0001012
requested.signature, roc.v2_ca20, 1, a, 9890, 0.0001012
requested.name, acc, 1, a, 9890, 0.9998989
requested.name, l2, 1, a, 9890, 0.0002022
requested.name, l2.binary, 1, a, 9890, 0.0002022
requested.name, avgp, 1, a, 9890, 0.9998989
requested.name, neglogp, 1, a, 9890, 0.0009313
requested.name, mrr, 1, a, 9890, 0.9999494
requested.name, update.acc, 1, a, 9890, 0.9991055
requested.name, update.prec, 1, a, 9890, 1.0000000
requested.name, roc.v1_eer, 1, a, 9890, 0.9997978
requested.name, roc.v1_ca05, 1, a, 9890, 0.9998989
requested.name, roc.v1_ca10, 1, a, 9890, 0.9998989
requested.name, roc.v1_ca20, 1, a, 9890, 0.9998989
requested.name, roc.v2_ca05, 1, a, 9890, 0.0001011
requested.name, roc.v2_ca10, 1, a, 9890, 0.0001011
requested.name, roc.v2_ca20, 1, a, 9890, 0.0001011
requested.all, acc, 1, a, 79120, 0.9939333
requested.all, l2, 1, a, 79120, 0.0092081
requested.all, l2.binary, 1, a, 79120, 0.0092081
requested.all, avgp, 1, a, 79120, 0.9936957
requested.all, neglogp, 1, a, 79120, 0.0309010
requested.all, mrr, 1, a, 79120, 0.9969666
requested.all, update.acc, 1, a, 79120, 0.9675676
requested.all, update.prec, 1, a, 79120, 0.9539729
requested.all, roc.v1_eer, 1, a, 79120, 0.0060162
requested.all, roc.v1_ca05, 1, a, 79120, 0.9939333
requested.all, roc.v1_ca10, 1, a, 79120, 0.9939333
requested.all, roc.v1_ca20, 1, a, 79120, 0.9939333
requested.all, roc.v2_ca05, 1, a, 79120, 0.0000127
requested.all, roc.v2_ca10, 1, a, 79120, 0.0000127
requested.all, roc.v2_ca20, 1, a, 79120, 0.0000127
method, acc, 1, a, 9890, 0.8970677
method, l2, 1, a, 9890, 0.1603506
method, l2.binary, 1, a, 9890, 0.1643709
method, avgp, 1, a, 9890, 0.8745503
method, neglogp, 1, a, 9890, 0.3154465
method, mrr, 1, a, 9890, 0.9462386
method, update.acc, 1, a, 9890, 0.7836664
method, update.prec, 1, a, 9890, 0.8458893
method, roc.v1_eer, 1, a, 9890, 0.1205258
method, roc.v1_ca05, 1, a, 9890, 0.8119312
method, roc.v1_ca10, 1, a, 9890, 0.8950455
method, roc.v1_ca20, 1, a, 9890, 0.8970677
method, roc.v2_ca05, 1, a, 9890, 0.3939360
method, roc.v2_ca10, 1, a, 9890, 0.5591749
method, roc.v2_ca20, 1, a, 9890, 0.7186655
all, acc, 1, a, 128570, 0.9535973
all, l2, 1, a, 128570, 0.0752525
all, l2.binary, 1, a, 128570, 0.0882262
all, avgp, 1, a, 128570, 0.9406604
all, neglogp, 1, a, 128570, 0.2177338
all, mrr, 1, a, 128570, 0.9698599
all, update.acc, 1, a, 128570, 0.8997377
all, update.prec, 1, a, 128570, 0.9095268
all, roc.v1_eer, 1, a, 128570, 0.0503539
all, roc.v1_ca05, 1, a, 128570, 0.9535973
all, roc.v1_ca10, 1, a, 128570, 0.9535973
all, roc.v1_ca20, 1, a, 128570, 0.9535973
all, roc.v2_ca05, 1, a, 128570, 0.6724495
all, roc.v2_ca10, 1, a, 128570, 0.7692245
