state_component, stat, schedule, label_scheme, N, result
goal.joint_independent, update.prec, 1, a, 9890, 0.5671679
goal.joint_independent, roc.v1_eer, 1, a, 9890, 0.2730030
goal.joint_independent, roc.v1_ca05, 1, a, 9890, 0.2169869
goal.joint_independent, roc.v1_ca10, 1, a, 9890, 0.4256825
goal.joint_independent, roc.v1_ca20, 1, a, 9890, 0.5884732
goal.joint_independent, roc.v2_ca05, 1, a, 9890, 0.0822626
goal.joint_independent, roc.v2_ca10, 1, a, 9890, 0.2229709
goal.joint_independent, roc.v2_ca20, 1, a, 9890, 0.4963961
requested.addr, acc, 1, a, 9890, 0.9910010
requested.addr, l2, 1, a, 9890, 0.0155128
requested.addr, l2.binary, 1, a, 9890, 0.0155128
requested.addr, avgp, 1, a, 9890, 0.9906699
requested.addr, neglogp, 1, a, 9890, 0.0561753
requested.addr, mrr, 1, a, 9890, 0.9955005
requested.addr, update.acc, 1, a, 9890, 0.9807971
requested.addr, update.prec, 1, a, 9890, 0.9857975
requested.addr, roc.v1_eer, 1, a, 9890, 0.0117290
requested.addr, roc.v1_ca05, 1, a, 9890, 0.9910010
requested.addr, roc.v1_ca10, 1, a, 9890, 0.9910010
requested.addr, roc.v1_ca20, 1, a, 9890, 0.9910010
requested.addr, roc.v2_ca05, 1, a, 9890, 0.0001020
requested.addr, roc.v2_ca10, 1, a, 9890, 0.0001020
requested.addr, roc.v2_ca20, 1, a, 9890, 0.0001020
requested.area, acc, 1, a, 9890, 0.9966633
requested.area, l2, 1, a, 9890, 0.0070649
requested.area, l2.binary, 1, a, 9890, 0.0070649
requested.area, avgp, 1, a, 9890, 0.9955279
requested.area, neglogp, 1, a, 9890, 0.0277172
requested.area, mrr, 1, a, 9890, 0.9983316
requested.area, update.acc, 1, a, 9890, 0.9776715
requested.area, update.prec, 1, a, 9890, 0.9959383
requested.area, roc.v1_eer, 1, a, 9890, 0.0056623
requested.area, roc.v1_ca05, 1, a, 9890, 0.9966633
requested.area, roc.v1_ca10, 1, a, 9890, 0.9966633
requested.area, roc.v1_ca20, 1, a, 9890, 0.9966633
requested.area, roc.v2_ca05, 1, a, 9890, 0.0001015
requested.area, roc.v2_ca10, 1, a, 9890, 0.0001015
requested.area, roc.v2_ca20, 1, a, 9890, 0.0001015
requested.food, acc, 1, a, 9890, 0.9968655
requested.food, l2, 1, a, 9890, 0.0054574
requested.food, l2.binary, 1, a, 9890, 0.0054574
requested.food, avgp, 1, a, 9890, 0.9968847
requested.food, neglogp, 1, a, 9890, 0.0197156
requested.food, mrr, 1, a, 9890, 0.9984328
requested.food, update.acc, 1, a, 9890, 0.9874260
requested.food, update.prec, 1, a, 9890, 0.9881569
requested.food, roc.v1_eer, 1, a, 9890, 0.0040445
requested.food, roc.v1_ca05, 1, a, 9890, 0.9968655
requested.food, roc.v1_ca10, 1, a, 9890, 0.9968655
requested.food, roc.v1_ca20, 1, a, 9890, 0.9968655
requested.food, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.food, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.food, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.phone, acc, 1, a, 9890, 0.9960566
