state_component, stat, schedule, label_scheme, N, result
goal.joint_independent, update.prec, 1, a, 9890, 0.6115033
goal.joint_independent, roc.v1_eer, 1, a, 9890, 0.2473205
goal.joint_independent, roc.v1_ca05, 1, a, 9890, 0.3870576
goal.joint_independent, roc.v1_ca10, 1, a, 9890, 0.4984833
goal.joint_independent, roc.v1_ca20, 1, a, 9890, 0.6071790
goal.joint_independent, roc.v2_ca05, 1, a, 9890, 0.3348125
goal.joint_independent, roc.v2_ca10, 1, a, 9890, 0.4855394
goal.joint_independent, roc.v2_ca20, 1, a, 9890, 0.6627391
requested.addr, acc, 1, a, 9890, 0.9918099
requested.addr, l2, 1, a, 9890, 0.0163173
requested.addr, l2.binary, 1, a, 9890, 0.0163173
requested.addr, avgp, 1, a, 9890, 0.9904016
requested.addr, neglogp, 1, a, 9890, 0.0673171
requested.addr, mrr, 1, a, 9890, 0.9959050
requested.addr, update.acc, 1, a, 9890, 0.9785142
requested.addr, update.prec, 1, a, 9890, 0.9907817
requested.addr, roc.v1_eer, 1, a, 9890, 0.0145602
requested.addr, roc.v1_ca05, 1, a, 9890, 0.9918099
requested.addr, roc.v1_ca10, 1, a, 9890, 0.9918099
requested.addr, roc.v1_ca20, 1, a, 9890, 0.9918099
requested.addr, roc.v2_ca05, 1, a, 9890, 0.0001019
requested.addr, roc.v2_ca10, 1, a, 9890, 0.0001019
requested.addr, roc.v2_ca20, 1, a, 9890, 0.0001019
requested.area, acc, 1, a, 9890, 0.9968655
requested.area, l2, 1, a, 9890, 0.0056748
requested.area, l2.binary, 1, a, 9890, 0.0056748
requested.area, avgp, 1, a, 9890, 0.9966057
requested.area, neglogp, 1, a, 9890, 0.0230508
requested.area, mrr, 1, a, 9890, 0.9984328
requested.area, update.acc, 1, a, 9890, 0.9801587
requested.area, update.prec, 1, a, 9890, 0.9951652
requested.area, roc.v1_eer, 1, a, 9890, 0.0046512
requested.area, roc.v1_ca05, 1, a, 9890, 0.9968655
requested.area, roc.v1_ca10, 1, a, 9890, 0.9968655
requested.area, roc.v1_ca20, 1, a, 9890, 0.9968655
requested.area, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.area, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.area, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.food, acc, 1, a, 9890, 0.9970677
requested.food, l2, 1, a, 9890, 0.0055705
requested.food, l2.binary, 1, a, 9890, 0.0055705
requested.food, avgp, 1, a, 9890, 0.9968267
requested.food, neglogp, 1, a, 9890, 0.0231557
requested.food, mrr, 1, a, 9890, 0.9985339
requested.food, update.acc, 1, a, 9890, 0.9835821
requested.food, update.prec, 1, a, 9890, 0.9939668
requested.food, roc.v1_eer, 1, a, 9890, 0.0048534
requested.food, roc.v1_ca05, 1, a, 9890, 0.9970677
requested.food, roc.v1_ca10, 1, a, 9890, 0.9970677
requested.food, roc.v1_ca20, 1, a, 9890, 0.9970677
requested.food, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.food, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.food, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.phone, acc, 1, a, 9890, 0.9959555
requested.phone, l2, 1, a, 9890, 0.0072170
requested.phone, l2.binary, 1, a, 9890, 0.0072170
requested.phone, avgp, 1, a, 9890, 0.9956975
requested.phone, neglogp, 1, a, 9890, 0.0241276
requested.phone, mrr, 1, a, 9890, 0.9979778
requested.phone, update.acc, 1, a, 9890, 0.9942816
requested.phone, update.prec, 1, a, 9890, 0.9907407
requested.phone, roc.v1_eer, 1, a, 9890, 0.0054601
requested.phone, roc.v1_ca05, 1, a, 9890, 0.9959555
requested.phone, roc.v1_ca10, 1, a, 9890, 0.9959555
requested.phone, roc.v1_ca20, 1, a, 9890, 0.9959555
requested.phone, roc.v2_ca05, 1, a, 9890, 0.0001015
requested.phone, roc.v2_ca10, 1, a, 9890, 0.0001015
requested.phone, roc.v2_ca20, 1, a, 9890, 0.0001015
requested.pricerange, acc, 1, a, 9890, 0.9975733
requested.pricerange, l2, 1, a, 9890, 0.0046505
requested.pricerange, l2.binary, 1, a, 9890, 0.0046505
requested.pricerange, avgp, 1, a, 9890, 0.9974281
requested.pricerange, neglogp, 1, a, 9890, 0.0199879
requested.pricerange, mrr, 1, a, 9890, 0.9987867
requested.pricerange, update.acc, 1, a, 9890, 0.9838088
requested.pricerange, update.prec, 1, a, 9890, 0.9976544
requested.pricerange, roc.v1_eer, 1, a, 9890, 0.0042467
requested.pricerange, roc.v1_ca05, 1, a, 9890, 0.9975733
requested.pricerange, roc.v1_ca10, 1, a, 9890, 0.9975733
requested.pricerange, roc.v1_ca20, 1, a, 9890, 0.9975733
requested.pricerange, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.pricerange, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.pricerange, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.postcode, acc, 1, a, 9890, 0.9973711
requested.postcode, l2, 1, a, 9890, 0.0048512
requested.postcode, l2.binary, 1, a, 9890, 0.0048512
requested.postcode, avgp, 1, a, 9890, 0.9972019
requested.postcode, neglogp, 1, a, 9890, 0.0177608
requested.postcode, mrr, 1, a, 9890, 0.9986855
requested.postcode, update.acc, 1, a, 9890, 0.9900266
requested.postcode, update.prec, 1, a, 9890, 0.9926667
requested.postcode, roc.v1_eer, 1, a, 9890, 0.0040445
requested.postcode, roc.v1_ca05, 1, a, 9890, 0.9973711
requested.postcode, roc.v1_ca10, 1, a, 9890, 0.9973711
requested.postcode, roc.v1_ca20, 1, a, 9890, 0.9973711
requested.postcode, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.postcode, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.postcode, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.signature, acc, 1, a, 9890, 0.9989889
requested.signature, l2, 1, a, 9890, 0.0020222
requested.signature, l2.binary, 1, a, 9890, 0.0020222
requested.signature, avgp, 1, a, 9890, 0.9989889
requested.signature, neglogp, 1, a, 9890, 0.0093128
requested.signature, mrr, 1, a, 9890, 0.9994944
requested.signature, update.acc, 1, a, 9890, 0.9911269
requested.signature, update.prec, 1, a, 9890, 1.0000000
requested.signature, roc.v1_eer, 1, a, 9890, 0.9988878
requested.signature, roc.v1_ca05, 1, a, 9890, 0.9989889
requested.signature, roc.v1_ca10, 1, a, 9890, 0.9989889
requested.signature, roc.v1_ca20, 1, a, 9890, 0.9989889
requested.signature, roc.v2_ca05, 1, a, 9890, 0.0001012
requested.signature, roc.v2_ca10, 1, a, 9890, 0.0001012
requested.signature, roc.v2_ca20, 1, a, 9890, 0.0001012
requested.name, acc, 1, a, 9890, 1.0000000
requested.name, l2, 1, a, 9890, 0.0000500
requested.name, l2.binary, 1, a, 9890, 0.0000500
requested.name, avgp, 1, a, 9890, 0.9999497
requested.name, neglogp, 1, a, 9890, 0.0000695
requested.name, mrr, 1, a, 9890, 1.0000000
requested.name, update.acc, 1, a, 9890, 1.0000000
requested.name, update.prec, 1, a, 9890, 1.0000000
requested.name, roc.v1_eer, 1, a, 9890, 0.0000000
requested.name, roc.v1_ca05, 1, a, 9890, 1.0000000
requested.name, roc.v1_ca10, 1, a, 9890, 1.0000000
requested.name, roc.v1_ca20, 1, a, 9890, 1.0000000
requested.name, roc.v2_ca05, 1, a, 9890, -
requested.name, roc.v2_ca10, 1, a, 9890, -
requested.name, roc.v2_ca20, 1, a, 9890, -
requested.all, acc, 1, a, 79120, 0.9969540
requested.all, l2, 1, a, 79120, 0.0057942
requested.all, l2.binary, 1, a, 79120, 0.0057942
requested.all, avgp, 1, a, 79120, 0.9966375
requested.all, neglogp, 1, a, 79120, 0.0230978
requested.all, mrr, 1, a, 79120, 0.9984770
requested.all, update.acc, 1, a, 79120, 0.9711763
requested.all, update.prec, 1, a, 79120, 0.9879661
requested.all, roc.v1_eer, 1, a, 79120, 0.0050051
requested.all, roc.v1_ca05, 1, a, 79120, 0.9969540
requested.all, roc.v1_ca10, 1, a, 79120, 0.9969540
requested.all, roc.v1_ca20, 1, a, 79120, 0.9969540
requested.all, roc.v2_ca05, 1, a, 79120, 0.0000127
requested.all, roc.v2_ca10, 1, a, 79120, 0.0000127
requested.all, roc.v2_ca20, 1, a, 79120, 0.0000127
method, acc, 1, a, 9890, 0.9346815
method, l2, 1, a, 9890, 0.1125987
